Selangor,280698,239968,226964,212645,200906,187434,177718
Kuala Lumpur,190075,160388,152380,140534,131514,122890,113095
Sarawak,121414,106063,102318,98089,94013,92700,87131
Johor,116679,98880,93665,87974,84050,78946,74102
Penang,81284,69844,66200,61324,58353,55827,52946
Sabah,80167,70421,66376,63226,61223,59339,58127
Perak,67629,58033,54785,52368,49756,46346,43313
Pahang,52452,45882,43946,42201,40047,38148,35871
Negeri Sembilan,42389,37539,35963,34892,33924,32007,30229
Kedah,40596,35999,34105,32740,31241,29585,27356
Malacca,37274,31715,30071,27933,27276,25487,24187
Terengganu,32270,27760,26866,25326,24292,23509,22769
Kelantan,23020,19722,19048,18136,17558,16691,15591
Labuan,5984,5119,4790,4549,4167,3852,3389
Perlis,5642,4917,4806,4574,4426,4214,4105
